"1","X","2","DATE","home_f","home_s","away_f","away_s","update-date"
"1.76","3.85","4.3","01.09. 20:15","JAGIELLONIA BIAŁYSTOK","JAG","WIDZEW ŁÓDŹ","WID","202408270911"
"3.4","3.3","2.12","01.09. 17:00","POGOŃ SIEDLCE","PGS","STAL RZESZÓW","STA","202408270911"
"3.65","3.6","1.98","30.08. 20:30","PGE FKS STAL MIELEC","STM","LECH POZNAŃ","LPO","202408270911"
"1.8","3.6","4.2","31.08. 17:00","WISŁA PŁOCK","WPŁ","GKS TYCHY","TYC","202408270911"
"1.42","4.5","6.85","01.09. 12:00","BRUK-BET TERMALICA NIECIECZA","BBT","STAL STALOWA WOLA","STW","202408270911"
"3.4","3.45","2.05","01.09. 14:30","KOTWICA KOŁOBRZEG","KOT","WISŁA KRAKÓW","WIS","202408270911"
"1.53","4.2","5.8","13.09. 20:30","WISŁA KRAKÓW","WIS","WARTA POZNAŃ","WAR","202409102253"
"2.7","3.25","2.55","17.09. 19:30","ŁKS ŁÓDŹ","ŁKS","WISŁA KRAKÓW","WIS","202409102253"
"2.6","3.55","2.65","13.09. 18:00","MOTOR LUBLIN","MOT","GÓRNIK ZABRZE","GÓR","202409102253"
"4.2","3.75","1.77","14.09. 14:30","STAL STALOWA WOLA","STW","WISŁA PŁOCK","WPŁ","202409102253"
"1.82","3.85","3.95","14.09. 20:15","LECH POZNAŃ","LPO","JAGIELLONIA BIAŁYSTOK","JAG","202409102253"
"2.55","3.15","2.75","16.09. 19:00","GKS TYCHY","TYC","RUCH CHORZÓW","RCH","202409102253"
"1.88","3.45","4","16.09. 19:00","ZNICZ PRUSZKÓW","ZNI","CHROBRY GŁOGÓW","CHR","202409102253"
"1.56","4.1","5.8","13.09. 18:00","ŁKS ŁÓDŹ","ŁKS","POGOŃ SIEDLCE","PGS","202409102253"
"2.28","3.5","3.05","13.09. 20:30","GKS KATOWICE","GKS","WIDZEW ŁÓDŹ","WID","202409102253"
"2.31","3.25","3.15","15.09. 14:45","KORONA KIELCE","KOR","KGHM ZAGŁĘBIE LUBIN","ZAG","202409102253"
"1.45","4.2","7","15.09. 14:30","ARKA GDYNIA","ARK","KOTWICA KOŁOBRZEG","KOT","202409102253"
"2.42","3.2","3","15.09. 17:30","LEGIA WARSZAWA","LEG","RAKÓW CZĘSTOCHOWA","RCZ","202409102253"
"1.53","4","6.4","15.09. 12:15","PIAST GLIWICE","PIA","PUSZCZA NIEPOŁOMICE","PUN","202409102253"
"1.75","3.45","5","16.09. 19:00","ŚLĄSK WROCŁAW","ŚLA","PGE FKS STAL MIELEC","STM","202409102253"
"2.5","3.45","2.65","14.09. 14:45","LECHIA GDAŃSK","LGD","RADOMIAK RADOM","RAD","202409102253"
"2.8","3.2","2.49","15.09. 17:00","GÓRNIK ŁĘCZNA","GKŁ","MIEDŹ LEGNICA","MIE","202409102253"
"2.95","3.45","2.3","14.09. 17:30","CRACOVIA","CRA","POGOŃ SZCZECIN","POG","202409102253"
"2.8","3.5","2.34","14.09. 19:35","STAL RZESZÓW","STA","BRUK-BET TERMALICA NIECIECZA","BBT","202409102253"
"2.24","3.35","3.05","14.09. 17:00","POLONIA WARSZAWA","POL","ODRA OPOLE","ODR","202409102253"
"1.99","3.75","3.6","20.09. 20:30","WISŁA PŁOCK","WPŁ","STAL RZESZÓW","STA","202409200945"
"1.55","4.1","5.8","22.09. 17:00","GKS TYCHY","TYC","STAL STALOWA WOLA","STW","202409200945"
"2.55","3.3","2.75","22.09. 12:30","MIEDŹ LEGNICA","MIE","RUCH CHORZÓW","RCH","202409200945"
"4.4","3.6","1.8","21.09. 14:30","WARTA POZNAŃ","WAR","ARKA GDYNIA","ARK","202409200945"
"4.4","3.85","1.75","22.09. 14:30","CHROBRY GŁOGÓW","CHR","WISŁA KRAKÓW","WIS","202409200945"
"1.98","3.55","3.65","21.09. 17:30","BRUK-BET TERMALICA NIECIECZA","BBT","ŁKS ŁÓDŹ","ŁKS","202409200945"
"2.95","3.2","2.45","21.09. 19:35","KOTWICA KOŁOBRZEG","KOT","GÓRNIK ŁĘCZNA","GKŁ","202409200945"
"2.85","3.2","2.55","22.09. 20:00","POGOŃ SIEDLCE","PGS","POLONIA WARSZAWA","POL","202409200945"
"2.5","3.35","2.85","22.09. 12:15","PGE FKS STAL MIELEC","STM","MOTOR LUBLIN","MOT","202409200946"
"1.65","3.9","5.4","22.09. 17:30","LECH POZNAŃ","LPO","ŚLĄSK WROCŁAW","ŚLA","202409200946"
"2.55","3.42","2.8","20.09. 20:30","POGOŃ SZCZECIN","POG","LEGIA WARSZAWA","LEG","202409200946"
"1.62","4.2","5.2","21.09. 14:45","JAGIELLONIA BIAŁYSTOK","JAG","LECHIA GDAŃSK","LGD","202409200946"
"1.51","4.3","6.6","22.09. 14:45","RAKÓW CZĘSTOCHOWA","RCZ","KGHM ZAGŁĘBIE LUBIN","ZAG","202409200946"
"2.35","3.3","3.19","20.09. 18:00","RADOMIAK RADOM","RAD","KORONA KIELCE","KOR","202409200946"
"2.8","3.3","2.55","21.09. 17:30","WIDZEW ŁÓDŹ","WID","PIAST GLIWICE","PIA","202409200946"
"2.95","3.45","2.39","21.09. 12:15","PUSZCZA NIEPOŁOMICE","PUN","CRACOVIA","CRA","202409200946"
"2.21","3.4","3.3","21.09. 20:15","GÓRNIK ZABRZE","GÓR","GKS KATOWICE","GKS","202409200946"
"3.7","3.5","1.99","29.09. 14:45","KORONA KIELCE","KOR","LECH POZNAŃ","LPO","202409251817"
"1.41","4.6","8.2","28.09. 14:45","RAKÓW CZĘSTOCHOWA","RCZ","PUSZCZA NIEPOŁOMICE","PUN","202409251817"
"2.25","3.45","3.1","29.09. 12:15","KGHM ZAGŁĘBIE LUBIN","ZAG","RADOMIAK RADOM","RAD","202409251817"
"2.65","3.5","2.6","27.09. 20:30","LECHIA GDAŃSK","LGD","WIDZEW ŁÓDŹ","WID","202409251817"
"1.6","4","5.4","28.09. 20:15","LEGIA WARSZAWA","LEG","GÓRNIK ZABRZE","GÓR","202409251817"
"2.6","3.25","2.8","28.09. 17:30","MOTOR LUBLIN","MOT","ŚLĄSK WROCŁAW","ŚLA","202409251817"
"2.11","3.45","3.4","29.09. 17:30","PIAST GLIWICE","PIA","JAGIELLONIA BIAŁYSTOK","JAG","202409251817"
"3.1","3.5","2.26","27.09. 18:00","GKS KATOWICE","GKS","POGOŃ SZCZECIN","POG","202409251817"
"2.41","3.6","2.9","25.09. 19:00","MOTOR LUBLIN","MOT","JAGIELLONIA BIAŁYSTOK","JAG","202409251817"
"1.52","4.2","6","27.09. 20:30","WISŁA KRAKÓW","WIS","ODRA OPOLE","ODR","202409251818"
"4.5","3.95","1.68","29.09. 19:30","STAL STALOWA WOLA","STW","RUCH CHORZÓW","RCH","202409251818"
"1.81","3.8","4.1","28.09. 17:30","ZNICZ PRUSZKÓW","ZNI","POGOŃ SIEDLCE","PGS","202409251818"
"3.45","3.55","2.01","29.09. 14:30","POLONIA WARSZAWA","POL","BRUK-BET TERMALICA NIECIECZA","BBT","202409251818"
"1.43","4.7","6.4","29.09. 12:00","ARKA GDYNIA","ARK","CHROBRY GŁOGÓW","CHR","202409251818"
"2.03","3.45","3.5","28.09. 19:35","GÓRNIK ŁĘCZNA","GKŁ","WARTA POZNAŃ","WAR","202409251818"
"1.62","4.1","4.8","29.09. 17:00","MIEDŹ LEGNICA","MIE","KOTWICA KOŁOBRZEG","KOT","202409251818"
"3.3","3.4","2.1","05.10. 14:30","STAL STALOWA WOLA","STW","STAL RZESZÓW","STA","202409301125"
"2.21","3.5","3.2","30.09. 19:00","ŁKS ŁÓDŹ","ŁKS","WISŁA PŁOCK","WPŁ","202409301125"
"1.75","3.7","4.4","05.10. 17:30","WISŁA PŁOCK","WPŁ","POLONIA WARSZAWA","POL","202409301125"
"3.5","3.5","2","06.10. 14:30","ODRA OPOLE","ODR","ARKA GDYNIA","ARK","202409301125"
"2.82","3.25","2.45","06.10. 17:00","GKS TYCHY","TYC","ŁKS ŁÓDŹ","ŁKS","202409301125"
"2.95","3.2","2.41","06.10. 12:00","CHROBRY GŁOGÓW","CHR","GÓRNIK ŁĘCZNA","GKŁ","202409301125"
"1.57","4.1","5.4","04.10. 20:30","RUCH CHORZÓW","RCH","KOTWICA KOŁOBRZEG","KOT","202409301125"
"2.05","3.55","3.55","30.09. 18:00","STAL RZESZÓW","STA","GKS TYCHY","TYC","202409301125"
"2.32","3.35","3","02.10. 18:00","ODRA OPOLE","ODR","ZNICZ PRUSZKÓW","ZNI","202409301125"
"1.5","4","6.5","06.10. 19:00","BRUK-BET TERMALICA NIECIECZA","BBT","ZNICZ PRUSZKÓW","ZNI","202409301125"
"3.25","3.25","2.22","04.10. 18:00","WARTA POZNAŃ","WAR","MIEDŹ LEGNICA","MIE","202409301125"
"4.9","4.4","1.57","05.10. 19:35","POGOŃ SIEDLCE","PGS","WISŁA KRAKÓW","WIS","202409301125"
"4","3.45","1.92","05.10. 14:45","RADOMIAK RADOM","RAD","RAKÓW CZĘSTOCHOWA","RCZ","202409301127"
"1.8","3.8","4.6","30.09. 19:00","CRACOVIA","CRA","PGE FKS STAL MIELEC","STM","202409301127"
"2.3","3.2","3.15","06.10. 14:45","ŚLĄSK WROCŁAW","ŚLA","CRACOVIA","CRA","202409301127"
"2.12","3.4","3.4","04.10. 20:30","WIDZEW ŁÓDŹ","WID","KORONA KIELCE","KOR","202409301127"
"2.06","3.45","3.5","05.10. 17:30","GÓRNIK ZABRZE","GÓR","KGHM ZAGŁĘBIE LUBIN","ZAG","202409301127"
"1.33","5.4","8.8","05.10. 20:15","LECH POZNAŃ","LPO","MOTOR LUBLIN","MOT","202409301127"
"2.7","3.4","2.46","06.10. 20:15","JAGIELLONIA BIAŁYSTOK","JAG","LEGIA WARSZAWA","LEG","202409301127"
"2.02","3.35","3.6","06.10. 17:30","POGOŃ SZCZECIN","POG","PIAST GLIWICE","PIA","202409301127"
"2.7","3.25","2.65","04.10. 18:00","PUSZCZA NIEPOŁOMICE","PUN","GKS KATOWICE","GKS","202409301127"
"2.31","3.25","3.2","05.10. 12:15","PGE FKS STAL MIELEC","STM","LECHIA GDAŃSK","LGD","202409301127"
